"Year","mm"
1700,6685.362
1701,6679.362
1702,6705.362
1703,6665.362
1704,6702.362
1705,6670.362
1706,6645.362
1707,6684.362
1708,6688.362
1709,6650.362
1710,6669.362
1711,6697.362
1712,6708.362
1713,6686.362
1714,6731.362
1715,6665.362
1716,6669.362
1717,6673.362
1718,6652.362
1719,6655.362
1720,6728.362
1721,6691.362
1722,6696.362
1723,6738.362
1724,6692.362
1725,6671.362
1726,6729.362
1727,6701.362
1728,6642.362
1729,6661.362
1730,6689.362
1731,6729.362
1732,6703.362
1733,6677.362
1734,6672.362
1735,6656.362
1736,6728.362
1737,6745.362
1738,6685.362
1739,6714.362
1740,6713.362
1741,6715.362
1742,6683.362
1743,6693.362
1744,6689.362
1745,6659.362
1746,6659.362
1747,6695.362
1748,6690.362
1749,6670.362
1766,6662.362
1767,6726.362
1768,6677.362
1769,6751.362
1770,6743.362
1771,6750.362
1772,6695.362
1773,6694.362
1774,6702.362
1775,6710.362
1776,6687.362
1777,6706.362
1778,6682.362
1779,6706.362
1780,6707.362
1781,6703.362
1782,6677.362
1783,6680.362
1784,6664.362
1785,6659.362
1786,6659.362
1787,6712.362
1788,6633.362
1789,6676.362
1790,6728.362
1791,6745.362
1792,6687.362
1793,6683.362
1794,6719.362
1795,6716.362
1796,6680.362
1797,6703.362
1798,6702.362
1799,6660.362
1800,6662.362
1801,6747.362
1802,6678.362
1803,6665.362
1804,6707.362
1805,6695.362
1806,6731.362
1807,6732.362
1808,6654.362
1809,6686.362
1810,6709.362
1811,6700.362
1812,6696.362
1813,6687.362
1814,6652.362
1815,6693.362
1816,6724.362
1817,6735.362
1818,6677.362
1819,6679.362
1820,6643.362
1821,6714.362
1822,6712.362
1823,6639.362
1824,6740.362
1825,6750.362
1826,6711.362
1827,6740.362
1828,6713.362
1829,6718.362
1830,6696.362
1831,6743.362
1832,6696.362
1833,6731.362
1834,6760.362
1835,6732.362
1836,6741.362
1837,6749.362
1838,6720.362
1839,6723.362
1840,6726.362
1841,6752.362
1842,6705.362
1843,6780.362
1844,6784.362
1845,6747.362
1846,6757.362
1847,6719.362
1848,6696.362
1849,6736.362
1850,6746.362
1851,6735.362
1852,6740.362
1853,6724.362
1854,6788.362
1855,6726.362
1856,6752.362
1857,6692.362
1858,6700.362
1859,6735.362
1860,6724.362
1861,6743.362
1862,6712.362
1863,6716.362
1864,6676.362
1865,6680.362
1866,6744.362
1867,6779.362
1868,6746.362
1869,6762.362
1870,6708.362
1871,6696.362
