"Year","mm"
1825,-99999
1826,6888.122
1827,6916.122
1828,-99999
1829,-99999
1830,6983.122
1831,6950.122
1832,6941.122
1833,-99999
1834,-99999
1835,-99999
1836,-99999
1837,-99999
1838,-99999
1839,-99999
1840,-99999
1841,-99999
1842,-99999
1843,-99999
1844,-99999
1845,-99999
1846,-99999
1847,6925.122
1848,6945.122
1849,6946.122
1850,6941.122
1851,6940.122
1852,6959.122
1853,6960.122
1854,6924.122
1855,6955.122
1856,6975.122
1857,6959.122
1858,6926.122
1859,6919.122
1860,6905.122
1861,6936.122
1862,6943.122
1863,6942.122
1864,6933.122
1865,6946.122
1866,6927.122
1867,6895.122
1868,6871.122
1869,6890.122
1870,6967.122
1871,6901.122
1872,6895.122
1873,6929.122
1874,6888.122
1875,6900.122
1876,6942.122
1877,-99999
1878,-99999
1879,-99999
1880,-99999
1881,-99999
1882,-99999
1883,-99999
1884,-99999
1885,-99999
1886,-99999
1887,-99999
1888,-99999
1889,-99999
1890,-99999
1891,-99999
1892,-99999
1893,-99999
1894,-99999
1895,-99999
1896,-99999
1897,6910.122
1898,6978.122
1899,6946.122
1900,6928.122
1901,7021.122
1902,7042.122
1903,7020.122
1904,6956.122
1905,6951.122
1906,6945.122
1907,-99999
1908,6937.122
1909,6965.122
1910,7039.122
1911,6975.122
1912,-99999
1913,-99999
1914,-99999
1915,-99999
1916,-99999
1917,-99999
1918,-99999
1919,-99999
1920,-99999
