"Year","mm"
1711,6898.31
1712,6914.51
1714,6817.61
1715,6843.51
1716,6765.31
1758,6888.31
1759,6829.81
1760,6862.81
1761,6853.31
1762,6865.01
1763,6923.81
1764,6855.01
1765,6863.61
1766,6855.11
1767,6874.21
1768,6882.71
1769,6848.91
1770,6792.61
1771,6830.61
1772,6909.91
1773,6836.01
1774,6847.91
1775,6827.31
1776,6838.01
1777,6856.91
1778,6837.61
1779,6808.61
1780,6825.51
1781,6837.41
1782,6872.51
1783,6902.31
1784,6862.01
1785,6862.41
1786,6880.31
1787,6880.41
1788,6860.11
1789,6878.71
1790,6849.11
