"Year","mm"
1777,-22
1806,-100
1807,-20
1808,-99999
1809,-220
1810,-140
1811,-80
1812,-160
1813,-200
1814,-300
1815,-200
1816,-110
1817,-40
1824,-80
1835,20
1836,90
1837,-20
1838,-40
1839,-120
1840,-60
1841,-7
1842,52
1843,85
1844,13
1845,-97
1846,-73
1847,-53
1848,-44
1849,-29
1850,28
1851,1
1852,-44
1853,-85
1854,77
1855,-64
1856,-11
1857,-104
1858,48
1859,36
1860,-144
1861,-44
1862,-84
1863,124
1864,-32
1865,-51
1866,61
1867,2
1868,19
1869,63
1870,-102
1871,-76
1872,-116
1873,40
1874,129
1875,-96
1876,-106
1877,-27
1878,70
1879,-37
1880,43
1881,-6
1882,-53
1883,-83
1884,-60
1885,-61
1886,-91
1887,29
1888,-34
1889,-71
1890,-28
1891,-105
1892,-50
1893,36
1894,-10
1895,-26
1896,-75
1897,-67
1898,64
1899,134
1900,-47
1901,-58
1902,15
1903,160
1904,35
1905,97
1906,47
1907,-40
1908,-73
1909,-3
1910,-56
1911,33
1912,-8
1913,58
1914,20
1915,-70
1916,-50
1917,-10
1918,-14
1919,-20
1920,-30
1921,120
1922,30
1923,77
1924,-9
1925,79
1926,-32
1927,28
1928,10
1929,0
1930,-40
1931,-30
1932,60
1933,-90
1934,-22
1935,-10
1936,-60
1937,-170
1938,70
1939,-140
1940,-80
1941,-170
1942,-50
1943,100
1944,10
1945,20
1946,-10
1947,-140
1948,70
1949,90
1950,1
1951,-108
1952,39
1953,35
1954,-15
1955,83
1956,54
1957,106
1958,8
1959,-54
1960,-173
1961,122
1962,107
1963,-56
1964,57
1965,-16
1966,-66
1967,115
1968,-20
1969,-81
1970,-18
1971,54
1972,-72
1973,82
1974,-1
1975,96
1976,-72
1977,-25
1978,-17
1979,-11
1980,-45
1981,109
1982,73
1983,240
1984,4
1985,27
1986,69
1987,25
1988,116
1989,226
1990,198
1991,80
1992,140
1993,50
