"Year","mm"
1768,6891.288
1769,6861.248
1770,6895.128
1771,6951.828
1772,6981.538
1773,6975.138
1774,6926.928
1775,6967.608
1776,6900.308
1777,6865.288
1778,6856.738
1779,6829.288
1780,6793.738
1781,6764.848
1782,6751.688
1783,6750.138
1784,6705.508
1785,6717.688
1786,6771.868
1787,6811.168
1788,6794.848
1789,6876.988
1790,6887.498
1791,6960.188
1792,6945.718
1793,6872.138
1819,6771.418
1828,6949.368
1829,6918.498
1830,6930.898
1831,6951.358
1832,6872.738
1833,6891.958
1834,6860.098
1854,6778.768
1855,6778.438
1856,6805.238
1858,6785.998
1859,6844.168
1860,6819.628
1861,6839.828
1864,6877.278
1865,6909.088
1866,6990.918
1867,7022.278
1869,6969.118
1872,7027.098
1878,6778.298
1881,6864.568
1882,6899.168
1883,6979.688
1884,6994.488
1887,6923.578
1888,6905.948
1889,6911.408
1890,6913.668
1891,6920.118
1892,6846.398
1893,6852.188
1894,6833.848
1895,6872.498
1896,6824.678
1897,6903.228
1898,6910.818
1900,7005.328
1901,7000.288
1902,6974.058
1903,7109.398
1904,7047.058
1905,7067.148
1906,7127.158
1907,6890.558
1908,6872.248
1909,6876.678
1910,6874.968
1911,6820.338
1912,6867.978
1920,6990.648
1922,7009.318
1924,7016.568
1935,6902.938
1938,6970.458
1942,7025.558
1943,7004.418
1944,6961.888
1945,6952.298
1946,6919.318
1947,6830.378
1950,6818.128
1951,6848.408
1952,6806.178
1953,6850.188
1955,6944.508
1956,6960.468
1957,7041.438
1958,7098.628
1959,7093.558
1960,7156.078
1961,7127.528
1962,7045.478
1963,6992.358
1964,6971.238
1965,6961.098
1966,6994.558
1967,7002.758
1968,6934.688
1969,6934.448
1970,6952.698
1971,6935.268
1973,7005.798
1974,7036.258
1975,7033.568
1976,7052.898
1977,7130.678
1978,7105.298
1979,7138.148
1980,7115.458
1981,7139.488
1982,7069.758
1990,7056.548
