"Year","mm"
1774,7677.681
1775,7895.681
1776,7736.681
1777,7800.681
1785,7761.681
1786,7589.681
1787,7715.681
1788,7729.681
1789,7625.681
1790,7777.681
1791,7691.681
1801,7742.681
1802,7719.681
1803,7626.681
1804,7517.681
1805,7600.681
1806,7686.681
1807,7750.681
1808,7625.681
1809,7549.681
1810,7620.681
1811,7618.681
1812,7546.681
1813,7570.681
1814,7415.681
1815,7533.681
1816,7544.681
1817,7631.681
1818,7546.681
1819,7510.681
1820,7515.681
1821,7607.681
1822,7676.681
1823,7501.681
1824,7616.681
1825,7638.681
1826,7430.681
1827,7479.681
1828,7504.681
1829,7421.681
1830,7456.681
1831,7384.681
1832,7502.681
1833,7480.681
1834,7608.681
1835,7551.681
1836,7596.681
1837,7465.681
1838,7526.681
1839,7525.681
1840,7438.681
1841,7402.681
1842,7390.681
1843,7443.681
1844,7462.681
1845,7395.681
1846,7421.681
1847,7366.681
1848,7384.681
1849,7424.681
1850,7410.681
1851,7437.681
1852,7407.681
1853,7340.681
1854,7459.681
1855,7352.681
1856,7400.681
1857,7311.681
1858,7411.681
1859,7435.681
1860,7360.681
1861,7391.681
1862,7335.681
1863,7490.681
1864,7365.681
1865,7320.681
1866,7431.681
1867,7384.681
1868,7401.681
1869,7395.681
1870,7286.681
1871,7250.681
1872,7270.681
1873,7364.681
1874,7415.681
1875,7170.681
1876,7250.681
1877,7303.681
1878,7350.681
1879,7267.681
1880,7293.681
1881,7253.681
1882,7241.681
1883,7229.681
1884,7242.681
1885,7228.681
1886,7167.681
1887,7251.681
1888,7184.681
